make,",year",",model",",cc (size)",",trade-in value",",suggested retail value"
kawasaki,1999,VN1500-G1 Vulcan 1500 Nomad,1500,2320,3400
kawasaki,1999,VN1500-J1 Vulcan 1500 Drifter,1500,2280,3350
kawasaki,1999,VN750-A15 Vulcan 750,750,1400,2100
kawasaki,1999,VN800-A5 Vulcan 800,800,1445,2165
kawasaki,1999,VN800-B4 Vulcan 800 Classic,800,1580,2360
kawasaki,2000,EJ650-A2 W650,650,3085,4490
kawasaki,2000,EN500-C5 Vulcan 500 LTD,500,1220,1855
kawasaki,2000,KZ1000-P19 Police,1000,1330,2005
kawasaki,2000,VN1500-E3 Vulcan 1500 Classic,1500,1900,2810
kawasaki,2000,VN1500-G2A Vulcan 1500 Nomad,1500,2445,3585
kawasaki,2000,VN1500-J2 Vulcan 1500 Drifter,1500,2410,3530
kawasaki,2000,VN1500-L1 Vulcan 1500 Nomad Fi,1500,2490,3650
kawasaki,2000,VN1500-N1 Vulcan 1500 Classic Fi,1500,2010,2965
kawasaki,2000,VN750-A16 Vulcan 750,750,1480,2215
kawasaki,2000,VN800-A6 Vulcan 800,800,1525,2280
kawasaki,2000,VN800-B5 Vulcan 800 Classic,800,1675,2485
kawasaki,2000,VN800-C2 Vulcan 800 Drifter,800,1845,2730
kawasaki,2001,BN125-A4 Eliminator,125,640,1055
kawasaki,2001,EJ650-A3 W650,650,3265,4750
kawasaki,2001,EN500-C6 Vulcan 500 LTD,500,1285,1945
kawasaki,2001,KZ1000-P20 Police,1000,1455,2175
kawasaki,2001,VN1500-E4 Vulcan 1500 Classic,1500,2065,3040
kawasaki,2001,VN1500-G3 Vulcan 1500 Nomad,1500,2785,4065
kawasaki,2001,VN1500-L2 Vulcan 1500 Nomad Fi,1500,2835,4130
kawasaki,2001,VN1500-N2 Vulcan 1500 Classic Fi,1500,2245,3300
kawasaki,2001,VN1500-R1 Vulcan 1500 Drifter,1500,2740,4000
kawasaki,2001,VN750-A17 Vulcan 750,750,1565,2330
kawasaki,2001,VN800-A7 Vulcan 800,800,1610,2395
kawasaki,2001,VN800-B6 Vulcan 800 Classic,800,1770,2630
kawasaki,2001,VN800-E1 Vulcan 800 Drifter,800,2045,3015
kawasaki,2002,BN125-A5 Eliminator,125,650,1070
kawasaki,2002,EN500-C7 Vulcan 500 LTD,500,1355,2045
kawasaki,2002,KZ1000-P21 Police,1000,1620,2410
kawasaki,2002,VN1500-E5 Vulcan 1500 Classic,1500,2310,3390
kawasaki,2002,VN1500-L3 Vulcan 1500 Nomad Fi,1500,3175,4620
kawasaki,2002,VN1500-N3 Vulcan 1500 Classic Fi,1500,2480,3635
kawasaki,2002,VN1500-P1 Vulcan 1500 Mean Streak,1500,2610,3815
kawasaki,2002,VN1500-R2 Vulcan 1500 Drifter,1500,3105,4520
kawasaki,2002,VN750-A18 Vulcan 750,750,1665,2475
kawasaki,2002,VN800-A8 Vulcan 800,800,1720,2550
kawasaki,2002,VN800-B7 Vulcan 800 Classic,800,1880,2785
kawasaki,2002,VN800-E2 Vulcan 800 Drifter,800,2170,3195
kawasaki,2003,EN500-C8 Vulcan 500 LTD,500,1445,2165
kawasaki,2003,KZ1000-P22 Police,1000,1780,2640
kawasaki,2003,VN1500-E6 Vulcan 1500 Classic,1500,2635,3855
kawasaki,2003,VN1500-L4 Vulcan 1500 Nomad Fi,1500,3495,5080
kawasaki,2003,VN1500-P2 Vulcan 1500 Mean Streak,1500,2945,4295
kawasaki,2003,VN1500-R3 Vulcan 1500 Drifter,1500,3475,5050
kawasaki,2003,VN1600-A1 Vulcan 1600 Classic,1600,2675,3905
kawasaki,2003,VN750-A19 Vulcan 750,750,1770,2630
kawasaki,2003,VN800-A9 Vulcan 800,800,1825,2705
kawasaki,2003,VN800-B8 Vulcan 800 Classic,800,2000,2950
kawasaki,2003,VN800-E3 Vulcan 800 Drifter,800,2310,3390
kawasaki,2004,BN125-A7 Eliminator,124,670,1100
kawasaki,2004,EN500-C9 Vulcan 500 LTD,500,1545,2305
kawasaki,2004,"

                                            Police 1000

                                            ",1000,N/A,N/A
kawasaki,2004,VN1500-E7 Vulcan 1500 Classic,1500,2970,4325
kawasaki,2004,VN1500-L5 Vulcan 1500 Nomad,1500,3725,5410
kawasaki,2004,VN1500-R4 Vulcan 1500 Drifter,1500,3840,5575
kawasaki,2004,VN1600-A2 Vulcan 1600 Classic,1600,2995,4360
kawasaki,2004,VN1600-B2 Vulcan 1600 Mean Streak,1600,3060,4455
kawasaki,2004,VN2000-A1 Vulcan 2000,2053,3725,5410
kawasaki,2004,VN750-A20 Vulcan 750,750,1900,2810
kawasaki,2004,VN800-A10 Vulcan 800,800,1900,2810
kawasaki,2004,VN800-B9 Vulcan 800 Classic,800,2135,3145
kawasaki,2004,VN800-E4 Vulcan 800 Drifter,800,2465,3610
kawasaki,2005,BN125-A8 Eliminator,124,705,1140
kawasaki,2005,EN500-C10 Vulcan 500 LTD,500,1675,2485
kawasaki,2005,"

                                            KZ1000-P24 Police

                                            ",1000,N/A,N/A
kawasaki,2005,VN1500-N4 Vulcan 1500 Classic,1500,3310,4820
kawasaki,2005,VN1500-R5 Vulcan 1500 Drifter,1500,4250,6170
kawasaki,2005,VN1600-A3 Vulcan 1600 Classic,1600,3360,4885
kawasaki,2005,VN1600-B2 Vulcan 1600 Mean Streak,1600,3425,4985
kawasaki,2005,VN1600-D1 Vulcan 1600 Nomad,1600,4320,6270
kawasaki,2005,VN2000-A2 Vulcan 2000,2053,4115,5975
kawasaki,2005,VN2000-D1 Vulcan 2000 Limited,2053,4735,6865
kawasaki,2005,VN750-A21 Vulcan 750,750,2045,3015
kawasaki,2005,VN800-A11 Vulcan 800,800,2045,3015
kawasaki,2005,VN800-B10 Vulcan 800 Classic,800,2290,3365
kawasaki,2005,VN800-E5 Vulcan 800 Drifter,800,2635,3855
kawasaki,2006,BN125A Eliminator,124,755,1210
kawasaki,2006,EN500C Vulcan 500 LTD,500,1810,2680
kawasaki,2006,VN1500N Vulcan 1500 Classic,1500,3540,5150
kawasaki,2006,VN1500T Vulcan 1500 Classic,1500,3540,5150
kawasaki,2006,VN1600A Vulcan 1600 Classic,1600,3725,5410
kawasaki,2006,VN1600B Vulcan 1600 Mean Streak,1600,3815,5545
kawasaki,2006,VN1600D Vulcan 1600 Nomad,1600,4735,6865
kawasaki,2006,VN1600E Vulcan 1600 Classic,1600,3725,5410
kawasaki,2006,VN1600F Vulcan 1600 Mean Streak,1600,3815,5545
kawasaki,2006,VN1600G Vulcan 1600 Nomad,1600,4735,6865
kawasaki,2006,VN2000A Vulcan 2000,2053,4525,6565
kawasaki,2006,VN2000D Vulcan 2000 Limited,2053,5200,7525
kawasaki,2006,VN2000E Vulcan 2000 Classic,2053,4525,6565
kawasaki,2006,VN2000F Vulcan 2000 Classic LT,2053,5100,7390
kawasaki,2006,VN750A Vulcan 750,750,2200,3235
kawasaki,2006,VN800E Vulcan 800 Drifter,800,2810,4095
kawasaki,2006,VN900B Vulcan 900 Classic,900,3085,4490
kawasaki,2006,VN900D Vulcan 900 Classic LT,900,3265,4750
kawasaki,2006,Vulcan 1500 Classic Anniversary,1500,3635,5280
kawasaki,2007,BN125A Eliminator,124,805,1280
kawasaki,2007,EN500C Vulcan 500 LTD,500,1920,2835
kawasaki,2007,VN1500N Vulcan 1500 Classic,1500,3770,5480
kawasaki,2007,VN1600A Vulcan 1600 Classic,1600,3955,5740
kawasaki,2007,VN1600B Vulcan 1600 Mean Streak,1600,4090,5940
kawasaki,2007,VN1600D Vulcan 1600 Nomad,1600,5060,7325
kawasaki,2007,VN2000A Vulcan 2000,2053,4870,7060
kawasaki,2007,VN2000E Vulcan 2000 Classic,2053,4870,7060
kawasaki,2007,VN2000F Vulcan 2000 Classic LT,2053,5470,7920
kawasaki,2007,VN900B Vulcan 900 Classic,900,3175,4620
kawasaki,2007,VN900C Vulcan 900 Custom,900,2945,4295
kawasaki,2007,VN900D Vulcan 900 Classic LT,900,3405,4950
kawasaki,2008,EN500C Vulcan 500 LTD,500,2025,2990
kawasaki,2008,VN1500N Vulcan 1500 Classic,1500,4000,5810
kawasaki,2008,VN1600A Vulcan 1600 Classic,1600,4205,6105
kawasaki,2008,VN1600B Vulcan 1600 Mean Streak,1600,4365,6335
kawasaki,2008,VN1600D Vulcan 1600 Nomad,1600,5430,7855
kawasaki,2008,VN2000G Vulcan 2000,2053,5200,7525
kawasaki,2008,VN2000H Vulcan 2000 Classic,2053,5200,7525
kawasaki,2008,VN2000J Vulcan 2000 Classic LT,2053,5840,8450
kawasaki,2008,VN900B Vulcan 900 Classic,900,3310,4820
kawasaki,2008,VN900C Vulcan 900 Custom,900,3200,4655
kawasaki,2008,VN900D Vulcan 900 Classic LT,900,3540,5150
kawasaki,2009,BN125A Eliminator 125,124,985,1525
kawasaki,2009,EN500C Vulcan 500 LTD,500,2145,3155
kawasaki,2009,VN1700C Vulcan 1700 Nomad,1700,6400,9145
kawasaki,2009,VN1700E Vulcan 1700 Classic,1700,4965,7195
kawasaki,2009,VN1700G Vulcan 1700 Classic LT,1700,5330,7720
kawasaki,2009,VN2000G Vulcan 2000,2053,5520,7985
kawasaki,2009,VN2000H Vulcan 2000 Classic,2053,5520,7985
kawasaki,2009,VN2000J Vulcan 2000 Classic LT,2053,6210,8890
kawasaki,2009,VN900B Vulcan 900 Classic,900,3450,5015
kawasaki,2009,VN900C Vulcan 900 Custom,900,3450,5015
kawasaki,2009,VN900D Vulcan 900 Classic LT,900,3840,5575
kawasaki,2010,VN1700E Vulcan 1700 Classic,1700,5240,7590
kawasaki,2010,VN1700G Vulcan 1700 Classic LT,1700,5660,8185
kawasaki,2010,VN2000J Vulcan 2000 Classic LT,2053,6580,9395
kawasaki,2010,VN900B Vulcan 900 Classic,900,3745,5445
kawasaki,2010,VN900C Vulcan 900 Custom,900,3745,5445
kawasaki,2010,VN900D Vulcan 900 Classic LT,900,4135,6005
kawasaki,2010,Vulcan 900 Custom Special Edition,900,3885,5645
kawasaki,2011,"

                                            VN1700E Vulcan 1700 Classic

                                            ",1700,N/A,N/A
kawasaki,2011,VN900B Vulcan 900 Classic SE,900,4070,5905
kawasaki,2011,VN900C Vulcan 900 Custom,900,4090,5940
kawasaki,2011,VN900D Vulcan 900 Classic LT,900,4505,6535
suzuki,1980,GN400T,400,360,680
suzuki,1980,GN400XT,400,360,680
suzuki,1980,GS1000ET,1000,1140,1740
suzuki,1980,GS1000GLT,1000,1095,1675
suzuki,1980,GS1000GT,1000,965,1500
suzuki,1980,GS1000S,1000,2445,4270
suzuki,1980,GS1100ET,1100,1165,1780
suzuki,1980,GS1100LT,1100,1120,1715
suzuki,1980,GS250T,250,390,715
suzuki,1980,GS450ET,450,450,800
suzuki,1980,GS450LT,450,660,1080
suzuki,1980,GS450S,450,470,825
suzuki,1980,GS550ET,550,660,1315
suzuki,1980,GS550LT,550,665,1680
suzuki,1980,GS750ET,750,750,1830
suzuki,1980,GS750LT,750,685,1525
suzuki,1980,GS850GLT,850,650,1180
suzuki,1980,GS850GT,850,620,1135
suzuki,1980,OR50T,49,260,545
suzuki,1981,GN400TX,400,405,740
suzuki,1981,GN400XX,400,405,740
suzuki,1981,GS1000GLX,1000,1120,1715
suzuki,1981,GS1000GX,1000,995,1535
suzuki,1981,GS1100EX,1100,1220,1855
suzuki,1981,GS250TX,250,440,790
suzuki,1981,GS450EX,450,470,825
suzuki,1981,GS450LX,450,665,1095
suzuki,1981,GS450S,450,505,875
suzuki,1981,GS450TX,450,450,800
suzuki,1981,GS550LX,550,685,1710
suzuki,1981,GS550TX,550,575,970
suzuki,1981,GS650EX,650,605,1005
suzuki,1981,GS650GLX,650,795,1265
suzuki,1981,GS650GX,650,765,1225
suzuki,1981,GS750EX,750,765,1865
suzuki,1981,GS750LX,750,695,1540
suzuki,1981,GS850GLX,850,685,1235
suzuki,1981,GS850GX,850,650,1180
suzuki,1982,GN125Z,124,450,800
suzuki,1982,GN250Z,250,525,900
suzuki,1982,GN400TZ,400,450,800
suzuki,1982,GS1100EZ,1100,1275,1930
suzuki,1982,GS1100GLZ,1100,1140,1935
suzuki,1982,GS1100GZ,1100,795,1265
suzuki,1982,GS300LZ,300,360,680
suzuki,1982,GS450EZ,450,485,850
suzuki,1982,GS450GA Auto,450,585,985
suzuki,1982,GS450LZ,450,675,1105
suzuki,1982,GS450TXZ,450,470,825
suzuki,1982,GS450TZ,450,485,850
suzuki,1982,GS550LZ,550,705,1745
suzuki,1982,GS550MZ,550,605,1005
suzuki,1982,GS650EZ,650,615,1020
suzuki,1982,GS650GLZ,650,810,1290
suzuki,1982,GS650GZ,650,785,1250
suzuki,1982,GS750EZ,750,785,1900
suzuki,1982,GS750TZ,750,765,1360
suzuki,1982,GS850GLZ,850,740,1320
suzuki,1982,GS850GZ,850,705,1260
suzuki,1983,GN125D,124,470,825
suzuki,1983,GN250D,250,540,920
suzuki,1983,GR650D Tempter,650,605,1005
suzuki,1983,GR650XD Tempter,650,560,945
suzuki,1983,GS1100ED,1100,1310,1980
suzuki,1983,GS1100ESD,1100,1365,2285
suzuki,1983,GS1100GD,1100,810,1290
suzuki,1983,GS1100GLD,1100,1155,1960
suzuki,1983,GS300LD,300,380,700
suzuki,1983,GS450ED,450,570,960
suzuki,1983,GS450GA,450,605,1005
suzuki,1983,GS450LD,450,685,1115
suzuki,1983,GS450TXD,450,550,935
suzuki,1983,GS500LD Impulse,500,570,960
suzuki,1983,GS550ED,550,670,1340
suzuki,1983,GS550ES3,550,680,1355
suzuki,1983,GS550ESD,550,680,1355
suzuki,1983,GS650GD,650,820,1300
suzuki,1983,GS650GLD,650,855,1350
suzuki,1983,GS750ED,750,810,1950
suzuki,1983,GS750ESD,750,855,2035
suzuki,1983,GS750TD,750,810,1430
suzuki,1983,GS850GD,850,765,1360
suzuki,1983,GS850GLD,850,830,1460
suzuki,1983,XN85D Turbo,673,2045,3335
suzuki,1984,GS1150ESE,1150,1735,2575
suzuki,1984,GS550ESE,550,695,1375
suzuki,1985,GN250F,250,560,945
suzuki,1985,GS1150EF,1150,1610,2395
suzuki,1985,GS1150ESF,1150,1835,2720
suzuki,1985,GS300LF,300,395,725
suzuki,1985,GS450GA,450,620,1030
suzuki,1985,GS450LF,450,695,1130
suzuki,1985,GS550EF,550,685,1360
suzuki,1985,GS550ESF,550,705,1390
suzuki,1985,GS550LF,550,575,970
suzuki,1985,GS700EF,700,805,1275
suzuki,1985,GS700ESF,700,840,1325
suzuki,1985,GV1200GLF Madura 1200,1200,1085,1850
suzuki,1985,GV700GLF Madura 700,700,810,1290
suzuki,1986,GS1150EG,1150,1635,2435
suzuki,1986,GS450LG,450,705,1140
suzuki,1986,GS500LG,500,585,985
suzuki,1986,GS550ESG,550,720,1420
suzuki,1986,GV1200GLG Madura 1200,1200,1100,1880
suzuki,1986,LS650FG Savage,650,630,1045
suzuki,1986,LS650PG Savage,650,630,1045
suzuki,1986,VS700GLEFG Intruder 700 GLE,700,1030,1590
suzuki,1986,VS700GLEPG Intruder 700 GLE,700,1030,1590
suzuki,1986,VS700GLFG Intruder 700 GL,700,995,1535
suzuki,1986,VS700GLPG Intruder 700 GL,700,995,1535
suzuki,1987,GS450LH,450,720,1165
suzuki,1987,LS650FH Savage,650,685,1115
suzuki,1987,LS650PH Savage,650,685,1115
suzuki,1987,VS1400GLFH Intruder 1400,1400,1245,2100
suzuki,1987,VS1400GLPH Intruder 1400,1400,1245,2100
suzuki,1987,VS700GLEFH Intruder 700 GLE,700,1095,1675
suzuki,1987,VS700GLEPH Intruder 700 GLE,700,1095,1675
suzuki,1987,VS700GLFH Intruder 700 GL,700,1055,1625
suzuki,1987,VS700GLPH Intruder 700 GL,700,1055,1625
suzuki,1988,GN250J,250,585,985
suzuki,1988,GS450LJ,450,740,1190
suzuki,1988,LS650PJ Savage,650,740,1190
suzuki,1988,VS1400GLPJ Intruder 1400,1400,1255,2115
suzuki,1988,VS750GLPJ Intruder 750,750,905,1410
suzuki,1989,GS500EK,500,675,1105
suzuki,1989,VS1400GLPK Intruder 1400,1400,1265,2130
suzuki,1989,VS750GLPK Intruder 750,750,920,1435
suzuki,1990,GS500EL,500,685,1115
suzuki,1990,VS1400GLPL Intruder 1400,1400,1275,2145
suzuki,1990,VS750GLPL Intruder 750,750,940,1460
suzuki,1990,VX800L Marauder 800,800,860,1355
suzuki,1991,GN125EM,124,495,860
suzuki,1991,GS500EM,500,695,1130
suzuki,1991,GSF400M Bandit 400,400,640,1055
suzuki,1991,VS1400GLPM Intruder 1400,1400,1285,2160
suzuki,1991,VS750GLPM Intruder 750,750,965,1500
suzuki,1991,VX800M Marauder 800,800,875,1375
suzuki,1992,GN125EN,124,505,875
suzuki,1992,GS500EN,500,705,1140
suzuki,1992,GSF400N Bandit 400,400,650,1070
suzuki,1992,VS1400GLPN Intruder 1400,1400,1290,2170
suzuki,1992,VS800GLN Intruder 800,800,1145,1755
suzuki,1992,VX800N Marauder 800,800,885,1385
suzuki,1993,GN125E,124,515,885
suzuki,1993,GS500E,500,710,1150
suzuki,1993,GSF400 Bandit 400,400,675,1105
suzuki,1993,VS1400GLP Intruder 1400,1400,1300,2185
suzuki,1993,VS800GL Intruder 800,800,1155,1765
suzuki,1993,VX800 Marauder 800,800,930,1450
suzuki,1994,GN125E,124,520,890
suzuki,1994,GS500E,500,715,1160
suzuki,1994,VS1400GLP Intruder 1400,1400,1310,2200
suzuki,1994,VS800GL Intruder 800,800,1185,1805
suzuki,1995,GN125E,124,525,900
suzuki,1995,GS500E,500,725,1170
suzuki,1995,LS650P Savage,650,805,1280
suzuki,1995,VS1400GLP Intruder 1400,1400,1320,2215
suzuki,1995,VS800GL Intruder 800,800,1220,1855
suzuki,1996,GN125E,124,525,905
suzuki,1996,GS500E,500,755,1210
suzuki,1996,GSF600S Bandit 600 S,600,850,1335
suzuki,1996,LS650P Savage,650,835,1320
suzuki,1996,VS1400GLP Intruder 1400,1400,1490,2230
suzuki,1996,VS800GL Intruder 800,800,1265,1920
suzuki,1997,GN125E,124,530,910
suzuki,1997,GS500E,500,775,1240
suzuki,1997,GSF1200S Bandit 1200,1200,1210,1840
suzuki,1997,GSF1200SA Bandit 1200 ABS,1200,1345,2030
suzuki,1997,GSF600 Bandit 600,600,885,1385
suzuki,1997,LS650P Savage,650,865,1360
suzuki,1997,VS1400GLP Intruder 1400,1400,1510,2255
suzuki,1997,VS800GLP Intruder 800,800,1310,1980
suzuki,1997,VZ800 Marauder 800,800,1165,1780
suzuki,1998,GS500E,500,810,1290
suzuki,1998,GSF1200S Bandit 1200,1200,1300,1970
suzuki,1998,GSF600S Bandit 600,600,940,1460
suzuki,1998,LS650P Savage,650,905,1410
suzuki,1998,VL1500 Intruder 1500,1500,1600,2385
suzuki,1998,VS1400GLP Intruder 1400,1400,1525,2280
suzuki,1998,VS800GL Intruder 800,800,1365,2050
suzuki,1998,VZ800 Marauder 800,800,1255,1905
suzuki,1999,GS500E,500,855,1345
suzuki,1999,GSF1200S Bandit 1200,1200,1410,2110
suzuki,1999,GSF600S Bandit 600,600,1030,1590
suzuki,1999,GZ250,250,810,1290
suzuki,1999,LS650P Savage,650,950,1475
suzuki,1999,SV650,650,1265,1920
suzuki,1999,VL1500 Intruder 1500,1500,1680,2500
suzuki,1999,VS1400GLP Intruder 1400,1400,1555,2320
suzuki,1999,VS800GL Intruder 800,800,1520,2265
suzuki,1999,VZ800 Marauder 800,800,1365,2050
suzuki,2000,GS500E,500,900,1405
suzuki,2000,GSF1200S Bandit 1200,1200,1545,2305
suzuki,2000,GSF600S Bandit 600,600,1120,1715
suzuki,2000,GZ250,250,820,1300
suzuki,2000,LS650P Savage,650,1000,1550
suzuki,2000,SV650,650,1355,2045
suzuki,2000,VL1500 Intruder 1500 LC,1500,1770,2630
suzuki,2000,VS1400GLP Intruder 1400,1400,1600,2385
suzuki,2000,VS800GL Intruder 800,800,1600,2385
suzuki,2000,VZ800 Marauder 800,800,1490,2230
suzuki,2001,GS500,500,940,1460
suzuki,2001,GSF1200 Bandit 1200,1200,1375,2060
suzuki,2001,GSF1200S Bandit 1200,1200,1710,2540
suzuki,2001,GSF600S Bandit 600,600,1220,1855
suzuki,2001,GZ250,250,840,1325
suzuki,2001,LS650P Savage,650,1055,1625
suzuki,2001,SV650,650,1400,2100
suzuki,2001,SV650S,650,1490,2230
suzuki,2001,VL1500 Intruder 1500 LC,1500,2070,3055
suzuki,2001,VL800 Intruder Volusia,800,1855,2745
suzuki,2001,VS1400GLP Intruder 1400,1400,1800,2665
suzuki,2001,VS800GL Intruder 800,800,1690,2510
suzuki,2001,VZ800 Marauder 800,800,1620,2410
suzuki,2002,GS500,500,995,1535
suzuki,2002,GSF1200 Bandit 1200,1200,1555,2320
suzuki,2002,GSF1200S Bandit 1200,1200,1910,2820
suzuki,2002,GSF600S Bandit 600,600,1355,2045
suzuki,2002,GZ250,250,855,1350
suzuki,2002,LS650P Savage,650,1130,1730
suzuki,2002,SV650,650,1455,2175
suzuki,2002,SV650S,650,1590,2370
suzuki,2002,VL1500 Intruder 1500 LC,1500,2380,3495
suzuki,2002,VL800 Intruder Volusia,800,1970,2910
suzuki,2002,VS1400GLP Intruder 1400,1400,2065,3040
suzuki,2002,VS800GL Intruder 800,800,1800,2665
suzuki,2002,VZ800 Marauder 800,800,1780,2640
suzuki,2003,GSF1200 Bandit 1200,1200,1770,2630
suzuki,2003,GSF1200S Bandit 1200,1200,2145,3155
suzuki,2003,GSF600S Bandit 600,600,1520,2265
suzuki,2003,GZ250,250,895,1400
suzuki,2003,Intruder Volusia Anniversary,805,2180,3210
suzuki,2003,LS650P Savage,650,1210,1840
suzuki,2003,SV1000,1000,2300,3375
suzuki,2003,SV1000S,1000,2365,3465
suzuki,2003,SV650,650,1610,2395
suzuki,2003,SV650S,650,1765,2615
suzuki,2003,VL1500 Intruder 1500 LC,1500,2720,3970
suzuki,2003,VL800 Intruder Volusia,800,2100,3095
suzuki,2003,VS1400GLP Intruder 1400,1400,2355,3455
suzuki,2003,VS800GL Intruder 800,800,1920,2835
suzuki,2003,VZ800 Marauder 800,800,1965,2900
suzuki,2004,GS500F w/Fairing,500,1380,2075
suzuki,2004,GSF1200S Bandit 1200,1200,2400,3520
suzuki,2004,GZ250,250,940,1460
suzuki,2004,LS650P Savage,650,1300,1970
suzuki,2004,SV1000S,1000,2590,3790
suzuki,2004,SV650,650,1780,2640
suzuki,2004,SV650S,650,1955,2885
suzuki,2004,VL1500 Intruder 1500 LC,1500,3060,4455
suzuki,2004,VL1500B Intruder 1500 LC Black,1500,2945,4295
suzuki,2004,VL800 Intruder Volusia,800,2245,3300
suzuki,2004,VL800B Intruder Volusia Black,800,2120,3120
suzuki,2004,VL800Z Intruder Volusia Limited,800,2310,3390
suzuki,2004,VS1400GLP Intruder 1400,1400,2520,3685
suzuki,2004,VS800GL Intruder 800,800,2045,3015
suzuki,2004,VZ1600 Marauder 1600,1600,2740,4000
suzuki,2004,VZ800 Marauder 800,800,2170,3195
suzuki,2005,C50,805,2525,3700
suzuki,2005,C50B,805,2245,3300
suzuki,2005,C50Z Limited Edition,805,2525,3700
suzuki,2005,C90,1462,3310,4820
suzuki,2005,C90B,1462,3200,4655
suzuki,2005,GS500F,500,1510,2255
suzuki,2005,GSF1200Z Bandit 1200 Limited,1200,2425,3555
suzuki,2005,GZ250,250,995,1535
suzuki,2005,M50,805,2345,3440
suzuki,2005,M50B,805,2300,3375
suzuki,2005,M95,1552,4205,6105
suzuki,2005,S40,656,1420,2125
suzuki,2005,S50,805,2080,3065
suzuki,2005,S83,1360,2555,3740
suzuki,2005,SV1000S,1000,2810,4095
suzuki,2005,SV650,650,2000,2950
suzuki,2005,SV650S,650,2180,3210
suzuki,2006,C50,805,2700,3945
suzuki,2006,C50B,805,2410,3530
suzuki,2006,C50C,805,2785,4065
suzuki,2006,C90,1462,3700,5380
suzuki,2006,C90B,1462,3565,5180
suzuki,2006,GS500F,500,1635,2435
suzuki,2006,GZ250,250,1065,1640
suzuki,2006,M50,805,2510,3675
suzuki,2006,M50B,805,2465,3610
suzuki,2006,S40,656,1555,2320
suzuki,2006,S50,805,2155,3170
suzuki,2006,S83,1360,2740,4000
suzuki,2006,SV1000S,1000,3085,4490
suzuki,2006,SV650,650,2245,3300
suzuki,2006,SV650S,650,2435,3570
suzuki,2006,VZR1800 M109R,1800,4965,7195
suzuki,2007,C50,805,2900,4225
suzuki,2007,C50B,805,2600,3800
suzuki,2007,C50C,805,2995,4360
suzuki,2007,C90,1462,3975,5775
suzuki,2007,C90B,1462,3840,5575
suzuki,2007,GS500F,500,1735,2575
suzuki,2007,GSF1250S Bandit 1250,1250,3220,4685
suzuki,2007,GSF1250SA Bandit 1250 ABS,1250,3425,4985
suzuki,2007,GZ250,250,1145,1755
suzuki,2007,M50,805,2700,3945
suzuki,2007,M50Z,805,2740,4000
suzuki,2007,S40,656,1690,2510
suzuki,2007,S50,805,2325,3415
suzuki,2007,S83,1360,2970,4325
suzuki,2007,SV1000S,1000,3360,4885
suzuki,2007,SV650,650,2455,3595
suzuki,2007,SV650A ABS,650,2630,3840
suzuki,2007,SV650S,650,2675,3905
suzuki,2007,SV650SA ABS,650,2855,4160
suzuki,2007,VZR1800 M109R,1800,5290,7655
suzuki,2007,VZR1800Z M109RZ SE,1800,5330,7720
suzuki,2008,GS500F,500,1825,2705
suzuki,2008,GSF1250S Bandit 1250S,1250,3565,5180
suzuki,2008,GSF1250SA Bandit 1250S ABS,1250,3795,5510
suzuki,2008,GSX1300BK B-King,1300,4920,7130
suzuki,2008,GSX1300BKA B-King ABS,1300,5290,7655
suzuki,2008,GZ250,250,1235,1880
suzuki,2008,LS650 S40,650,1855,2745
suzuki,2008,SV650,650,2665,3895
suzuki,2008,SV650A ABS,650,2855,4160
suzuki,2008,SV650SAF ABS,650,3105,4520
suzuki,2008,SV650SF,650,2900,4225
suzuki,2008,VL1500 C90,1500,4250,6170
suzuki,2008,VL1500B C90B,1500,4115,5975
suzuki,2008,VL800 C50,800,3130,4555
suzuki,2008,VL800B C50B,800,2810,4095
suzuki,2008,VL800C C50C Limited Edition,800,3245,4720
suzuki,2008,VLR1800 C109R,1800,5700,8250
suzuki,2008,VS1400 S83,1400,3175,4620
suzuki,2008,VS800 S50,800,2525,3700
suzuki,2008,VZ800 M50,800,2925,4260
suzuki,2008,VZ800B M50B,800,2880,4195
suzuki,2008,VZ800Z M50Z,800,2970,4325
suzuki,2008,VZR1800 M109R,1800,5660,8185
suzuki,2008,VZR1800N M109R2,1800,5660,8185
suzuki,2008,VZR1800Z M109RZ Limited Edition,1800,5700,8250
suzuki,2009,C50 Special Edition,805,3745,5445
suzuki,2009,GS500F,500,1935,2860
suzuki,2009,GSF1250S Bandit 1250S,1250,3885,5645
suzuki,2009,GSF1250SA Bandit 1250S ABS,1250,4135,6005
suzuki,2009,GZ250,250,1365,2050
suzuki,2009,LS650 S40,650,2045,3015
suzuki,2009,M90,1462,4320,6270
suzuki,2009,SFV650 Gladius,650,2900,4225
suzuki,2009,SV650SAF ABS,650,3425,4985
suzuki,2009,SV650SF,650,3220,4685
suzuki,2009,TU250,250,1765,2615
suzuki,2009,VL1500 C90,1500,4525,6565
suzuki,2009,VL800 C50,800,3405,4950
suzuki,2009,VL800C C50C,800,3495,5080
suzuki,2009,VLR1800 C109R,1800,6070,8695
suzuki,2009,VS800 S50,800,2740,4000
suzuki,2009,VZ800 M50,800,3175,4620
suzuki,2009,VZ800Z M50Z Special Edition,800,3220,4685
suzuki,2009,VZR1800 M109R,1800,6030,8635
suzuki,2009,VZR1800N M109R2,1800,6030,8635
suzuki,2009,VZR1800Z M109RZ Limited Edition,1800,6070,8695
